product_name,upc_code,cndcfi,category_description,form,strength,package_size,sales_price,measurement_name,manufacture_name,category_name,expire_date,
"HUMULIN R 100 UNIT/ML VIAL","00002821501","1","ANTIHYPERGLYCEMICS","VIAL (ML)","100/ML",10.000,178.44,"ML","ELI LILLY & CO.","OT",/  /
"HUMULIN R 100 UNIT/ML VIAL","00002821517","1","ANTIHYPERGLYCEMICS","VIAL (ML)","100/ML",3.000,53.53,"ML","ELI LILLY & CO.","OT",/  /
"HUMULIN N 100 UNIT/ML VIAL","00002831501","1","ANTIHYPERGLYCEMICS","VIAL (ML)","100/ML",10.000,178.44,"ML","ELI LILLY & CO.","OT",/  /
"HUMULIN N 100 UNIT/ML VIAL","00002831517","1","ANTIHYPERGLYCEMICS","VIAL (ML)","100/ML",3.000,53.53,"ML","ELI LILLY & CO.","OT",/  /
"HUMULIN 70-30 VIAL","00002871501","1","ANTIHYPERGLYCEMICS","VIAL (ML)","70-30/ML",10.000,178.44,"ML","ELI LILLY & CO.","OT",/  /
"HUMULIN 70-30 VIAL","00002871517","1","ANTIHYPERGLYCEMICS","VIAL (ML)","70-30/ML",3.000,53.53,"ML","ELI LILLY & CO.","OT",/  /
"HUMULIN 70/30 KWIKPEN","00002880301","1","ANTIHYPERGLYCEMICS","INSULIN PEN (ML)","70-30/ML",3.000,113.11,"ML","ELI LILLY & CO.","OT",/  /
"HUMULIN 70/30 KWIKPEN","00002880359","1","ANTIHYPERGLYCEMICS","INSULIN PEN (ML)","70-30/ML",3.000,113.11,"ML","ELI LILLY & CO.","OT",/  /
"HUMULIN N 100 UNIT/ML KWIKPEN","00002880501","1","ANTIHYPERGLYCEMICS","INSULIN PEN (ML)","100/ML (3)",3.000,113.11,"ML","ELI LILLY & CO.","OT",/  /
"HUMULIN N 100 UNIT/ML KWIKPEN","00002880559","1","ANTIHYPERGLYCEMICS","INSULIN PEN (ML)","100/ML (3)",3.000,113.11,"ML","ELI LILLY & CO.","OT",/  /
"HUMATROPEN 6 MG DELIVERY SYS","00002956001","7","MISCELLANEOUS MEDICAL SUPPLIES, DEVICES, NON-DRUG","PEN INJECTOR (EA)","6",1.000,0.00,"EACH","ELI LILLY & CO.","OT",/  /
"HUMATROPEN 12 MG DELIVERY SYS","00002956101","7","MISCELLANEOUS MEDICAL SUPPLIES, DEVICES, NON-DRUG","PEN INJECTOR (EA)","12",1.000,0.00,"EACH","ELI LILLY & CO.","OT",/  /
"HUMATROPEN 24 MG DELIVERY SYS","00002956201","7","MISCELLANEOUS MEDICAL SUPPLIES, DEVICES, NON-DRUG","PEN INJECTOR (EA)","24",1.000,0.00,"EACH","ELI LILLY & CO.","OT",/  /
"NITRATEST PAPER W-DISPENSER","00003052620","1","DIAGNOSTIC","EACH","15 FEET",1.000,39.78,"EACH","APOTHECON","OT",03/15/2019
"FIBERCON 625 MG CAPLET","00005250002","1","GASTROINTESTINAL","TABLET","625 MG",36.000,6.22,"TAB","PFIZER CONS.HLT","OT",/  /
"FIBERCON 625 MG CAPLET","00005250023","1","GASTROINTESTINAL","TABLET","625 MG",140.000,14.99,"TAB","PFIZER CONS.HLT","OT",/  /
